Title,DiscMand,MajorSpendingCategory,Agency,Bureau,Func,SubFunc,O2016
"Advances & Deposits, Dept. of Transportation",Mandatory,Offsetting receipts,Department of Transportation                                    ,Department of Transportation,150,151,-1
Armed Forces Retirement Home,Discretionary,Nondefense,Other Defense Civil Programs                                    ,Armed Forces Retirement Home,600,602,68
Overseas Private Investment Corporation program account,Mandatory,Other Spending,International Assistance Programs                               ,Overseas Private Investment Corporation,150,151,-1
Assets forfeiture fund,Discretionary,Nondefense,Department of Justice                                           ,Legal Activities and U.S. Marshals,750,752,20
Overseas Private Investment Corporation noncredit account,Mandatory,Other Spending,International Assistance Programs                               ,Overseas Private Investment Corporation,150,151,0
Assistance for Eastern Europe and the Baltic States,Discretionary,Nondefense,International Assistance Programs                               ,Agency for International Development,150,151,3
Loan guarantees to Israel program account,Mandatory,Other Spending,International Assistance Programs                               ,Agency for International Development,150,151,-72
Loan guarantees to Egypt program account                        ,Mandatory,Other Spending,International Assistance Programs                               ,Agency for International Development,150,151,-555
"Assistance for Europe, Eurasia and Central Asia                 ",Discretionary,Nondefense,International Assistance Programs                               ,Agency for International Development,150,151,109
Urban and environmental credit program account,Mandatory,Other Spending,International Assistance Programs                               ,Agency for International Development,150,151,-4
Assistance for the independent states of the former Soviet Union,Discretionary,Nondefense,International Assistance Programs                               ,Agency for International Development,150,151,7
Ukraine Loan Guarantees Program Account                         ,Mandatory,Other Spending,International Assistance Programs                               ,Agency for International Development,150,151,-85
Assistance to Small Shipyards                                   ,Discretionary,Nondefense,Department of Transportation                                    ,Maritime Administration,400,403,5
MENA Loan Guarantee Program Account                             ,Mandatory,Other Spending,International Assistance Programs                               ,Agency for International Development,150,151,-2
Assistance to territories,Discretionary,Nondefense,Department of the Interior                                      ,Insular Affairs,800,808,57
"Automation Modernization, Customs and Border Protection         ",Discretionary,Nondefense,Department of Homeland Security                                 ,U.S. Customs and Border Protection                              ,750,751,816
"Automation Modernization, Immigration and Customs Enforcement   ",Discretionary,Nondefense,Department of Homeland Security                                 ,U.S. Immigration and Customs Enforcement                        ,750,751,42
Aviation Security                                               ,Discretionary,Nondefense,Department of Homeland Security                                 ,Transportation Security Administration                          ,400,402,"4,313"
Biodefense Countermeasures                                      ,Discretionary,Nondefense,Department of Homeland Security                                 ,National Protection and Programs Directorate                    ,550,551,25
